Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
81;Ghana;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;151
84;Grèce;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;79
86;Grenade;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;7
89;Guatemala;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;129
90;Guinée;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;37
175;Guinée-Bissau;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
91;Guyana;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
93;Haïti;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;89
95;Honduras;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
97;Hongrie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;58
25;Îles Salomon;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;6
100;Inde;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
101;Indonésie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
102;Iran (République islamique d');5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;6
103;Iraq;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;470
104;Irlande;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;99
99;Islande;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
105;Israël;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
106;Italie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;97
109;Jamaïque;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;31
110;Japon;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1069
112;Jordanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;64
108;Kazakhstan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;174
114;Kenya;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
113;Kirghizistan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;25
83;Kiribati;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
118;Koweït;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;137
122;Lesotho;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;15
119;Lettonie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;43
121;Liban;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;13
123;Libéria;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;48
126;Lituanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;44
256;Luxembourg;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;11
154;Macédoine du Nord;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;40
129;Madagascar;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
131;Malaisie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;68
130;Malawi;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
132;Maldives;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
133;Mali;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
134;Malte;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;9
143;Maroc;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
