Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
112;Jordanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;210
108;Kazakhstan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;171
114;Kenya;5511;Production;Viande de Volailles;2017;Milliers de tonnes;35
113;Kirghizistan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;7
83;Kiribati;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
118;Koweït;5511;Production;Viande de Volailles;2017;Milliers de tonnes;56
122;Lesotho;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2
119;Lettonie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;33
121;Liban;5511;Production;Viande de Volailles;2017;Milliers de tonnes;64
123;Libéria;5511;Production;Viande de Volailles;2017;Milliers de tonnes;15
126;Lituanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;118
256;Luxembourg;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
154;Macédoine du Nord;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2
129;Madagascar;5511;Production;Viande de Volailles;2017;Milliers de tonnes;81
131;Malaisie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1724
130;Malawi;5511;Production;Viande de Volailles;2017;Milliers de tonnes;130
133;Mali;5511;Production;Viande de Volailles;2017;Milliers de tonnes;48
134;Malte;5511;Production;Viande de Volailles;2017;Milliers de tonnes;4
143;Maroc;5511;Production;Viande de Volailles;2017;Milliers de tonnes;762
137;Maurice;5511;Production;Viande de Volailles;2017;Milliers de tonnes;48
136;Mauritanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;5
138;Mexique;5511;Production;Viande de Volailles;2017;Milliers de tonnes;3249
141;Mongolie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
273;Monténégro;5511;Production;Viande de Volailles;2017;Milliers de tonnes;4
144;Mozambique;5511;Production;Viande de Volailles;2017;Milliers de tonnes;92
28;Myanmar;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1662
147;Namibie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;11
